timestamp [ms],,temperature [C],pressure [Pa], altitude [m] ,pm2_5 [microg/m3],pm10_0 [microg/m3]
2524233,2524.233,14.71,87115.33,1256.53,17,22
2524259,2524.259,14.71,87116.27,1256.44,17,22
2524285,2524.285,14.71,87117.88,1256.29,17,22
2524311,2524.311,14.71,87120.39,1256.05,17,22
2524337,2524.337,14.71,87117.65,1256.31,17,22
2524363,2524.363,14.71,87119.77,1256.11,17,22
2524389,2524.389,14.71,87118.39,1256.24,17,22
2524415,2524.415,14.71,87119.27,1256.16,17,22
2524441,2524.441,14.71,87116.66,1256.41,17,22
2524467,2524.467,14.71,87116.05,1256.46,17,22
2524493,2524.493,14.71,87120.97,1256,17,22
2524518,2524.518,14.71,87119.05,1256.18,17,22
2524544,2524.544,14.71,87121.34,1255.96,17,22
2524570,2524.57,14.72,87119.67,1256.12,17,22
2524610,2524.61,14.72,87119.54,1256.13,17,22
2524631,2524.631,14.72,87119.24,1256.16,17,22
2524656,2524.656,14.71,87116.94,1256.38,17,22
2524682,2524.682,14.71,87120.06,1256.08,17,22
2524708,2524.708,14.71,87120.91,1256,17,22
2524734,2524.734,14.71,87121.92,1255.91,17,22
2524760,2524.76,14.71,87120.76,1256.02,17,22
2524786,2524.786,14.72,87120.24,1256.07,17,22
2524812,2524.812,14.72,87117.62,1256.31,17,22
2524838,2524.838,14.72,87118.21,1256.26,17,22
2524864,2524.864,14.72,87119.06,1256.18,17,22
2524890,2524.89,14.72,87119.6,1256.13,17,22
2524916,2524.916,14.72,87119.16,1256.17,17,22
2524942,2524.942,14.72,87119.81,1256.11,17,22
2524968,2524.968,14.72,87116.71,1256.4,17,22
2524994,2524.994,14.72,87118.99,1256.19,17,22
2525020,2525.02,14.72,87120.27,1256.06,17,22
2525046,2525.046,14.72,87116.04,1256.46,17,22
2525072,2525.072,14.72,87119.64,1256.12,17,22
2525098,2525.098,14.72,87118.48,1256.23,17,22
2525124,2525.124,14.72,87118.19,1256.26,17,22
2525150,2525.15,14.72,87119.33,1256.15,17,22
2525176,2525.176,14.73,87120.38,1256.06,17,21
2525202,2525.202,14.72,87119.84,1256.11,17,21
2525228,2525.228,14.73,87118.52,1256.23,17,21
2525254,2525.254,14.73,87117.65,1256.31,17,21
2525280,2525.28,14.73,87119.21,1256.16,17,21
2525306,2525.306,14.73,87119.05,1256.18,17,21
2525332,2525.332,14.73,87117.81,1256.3,17,21
2525357,2525.357,14.73,87119.82,1256.11,17,21
2525383,2525.383,14.73,87116.75,1256.4,17,21
2525409,2525.409,14.73,87118.16,1256.26,17,21
2525435,2525.435,14.73,87114.73,1256.59,17,21
2525461,2525.461,14.73,87119.41,1256.15,17,21
2525487,2525.487,14.73,87120.05,1256.09,17,21
2525513,2525.513,14.73,87120.29,1256.06,17,21
