timestamp_ms,co2_ppm,temperature_C,pressure_hPa
211918,505.00,14.35,949.74
timestamp_ms,co2_ppm,temperature_C,pressure_hPa
10389,0.00,14.65,949.76
11390,0.00,14.86,949.77
12418,0.00,14.89,949.78
13424,912.00,14.86,949.78
14425,912.00,14.92,949.76
15442,912.00,14.93,949.76
16453,912.00,14.95,949.77
17454,912.00,14.97,949.79
18464,894.00,14.98,949.77
19466,894.00,14.99,949.80
20479,894.00,15.00,949.77
21490,894.00,15.02,949.78
22518,897.00,15.04,949.79
23519,897.00,15.05,949.77
24526,897.00,15.06,949.75
25545,897.00,15.07,949.77
26560,897.00,15.08,949.77
27582,903.00,15.06,949.76
28602,903.00,15.10,949.74
29605,903.00,15.11,949.75
30611,903.00,15.12,949.74
31630,903.00,15.13,949.73
32642,883.00,15.14,949.74
33642,883.00,15.16,949.76
34656,883.00,15.16,949.75
35656,883.00,15.18,949.77
36672,876.00,15.19,949.76
37684,876.00,15.20,949.75
38697,876.00,15.20,949.75
39706,876.00,15.21,949.76
40712,876.00,15.23,949.75
41722,872.00,15.23,949.76
42728,872.00,15.24,949.74
43734,872.00,15.25,949.76
44746,872.00,15.26,949.74
45755,863.00,15.27,949.73
46766,863.00,15.28,949.72
47788,863.00,15.29,949.74
48796,863.00,15.29,949.73
49800,863.00,15.31,949.74
50809,859.00,15.32,949.74
51818,859.00,15.33,949.75
52831,859.00,15.34,949.75
53848,859.00,15.35,949.74
54857,859.00,15.36,949.75
55865,852.00,15.36,949.73
56874,852.00,15.37,949.73
57878,852.00,15.38,949.74
58886,852.00,15.39,949.71
59900,845.00,15.39,949.72
60917,845.00,15.40,949.74
61924,845.00,15.42,949.73
62934,845.00,15.42,949.73
63940,845.00,15.43,949.71
64947,840.00,15.44,949.72
65958,840.00,15.44,949.71
66970,840.00,15.45,949.72
67994,840.00,15.46,949.73
69001,840.00,15.47,949.72
70001,835.00,15.48,949.75
71029,835.00,15.49,949.74
72042,835.00,15.49,949.73
73054,835.00,15.50,949.75
74077,828.00,15.51,949.75
75093,828.00,15.52,949.73
76101,828.00,15.53,949.73
77112,828.00,15.53,949.74
78119,828.00,15.54,949.74
79127,826.00,15.55,949.72
80135,826.00,15.56,949.74
81136,826.00,15.57,949.73
82143,826.00,15.57,949.74
83167,822.00,15.59,949.75
84167,822.00,15.59,949.75
85187,822.00,15.60,949.75
86212,822.00,15.61,949.74
87214,822.00,15.62,949.74
88215,820.00,15.62,949.75
89240,820.00,15.63,949.74
90268,820.00,15.64,949.74
91286,820.00,15.64,949.72
92298,820.00,15.65,949.73
93323,820.00,15.66,949.73
94335,820.00,15.66,949.74
95340,820.00,15.67,949.74
96363,820.00,15.68,949.73
97390,818.00,15.69,949.74
98396,818.00,15.69,949.72
99397,818.00,15.70,949.73
100402,818.00,15.71,949.74
101426,818.00,15.71,949.74
102433,816.00,15.72,949.77
103460,816.00,15.73,949.74
104484,816.00,15.73,949.75
105492,816.00,15.74,949.75
106518,816.00,15.75,949.73
107527,816.00,15.76,949.75
108529,816.00,15.77,949.74
109535,816.00,15.77,949.74
110545,816.00,15.78,949.74
111574,815.00,15.78,949.72
112587,815.00,15.79,949.73
113613,815.00,15.80,949.70
114632,815.00,15.80,949.71
115642,815.00,15.81,949.71
116651,815.00,15.82,949.70
117657,815.00,15.82,949.71
118668,815.00,15.83,949.71
119669,815.00,15.84,949.68
120680,814.00,15.84,949.69
121687,814.00,15.85,949.68
122705,814.00,15.85,949.66
123711,814.00,15.86,949.66
124738,814.00,15.82,949.72
125744,814.00,15.88,949.69
126751,814.00,15.89,949.67
127757,814.00,15.89,949.66
128765,814.00,15.90,949.68
129766,812.00,15.90,949.67
130774,812.00,15.91,949.67
131810,812.00,15.92,949.70
132815,812.00,15.93,949.69
133830,812.00,15.93,949.67
134830,810.00,15.94,949.69
135839,810.00,15.95,949.69
136848,810.00,15.95,949.69
137849,810.00,15.97,949.71
138875,810.00,15.97,949.68
139875,807.00,15.98,949.68
140892,807.00,15.98,949.69
141908,807.00,15.98,949.70
142909,807.00,15.99,949.68
143917,803.00,16.00,949.68
144917,803.00,16.01,949.69
145926,803.00,16.01,949.69
146926,803.00,16.02,949.68
147931,803.00,16.03,949.69
148937,801.00,16.04,949.71
150093,801.00,16.04,949.69
151111,801.00,16.05,949.70
152125,801.00,16.05,949.71
153128,796.00,16.06,949.70
154135,796.00,16.07,949.69
155148,796.00,16.07,949.70
156151,796.00,16.08,949.69
157158,796.00,16.08,949.70
158164,793.00,16.09,949.70
159170,793.00,16.09,949.68
160180,793.00,16.10,949.69
161187,793.00,16.11,949.71
162189,793.00,16.12,949.69
163192,790.00,16.12,949.70
164198,790.00,16.13,949.69
165223,790.00,16.14,949.69
166247,790.00,16.14,949.67
167257,790.00,16.15,949.67
168277,790.00,16.15,949.68
169287,790.00,16.16,949.67
170312,790.00,16.17,949.67
171312,790.00,16.18,949.69
172327,785.00,16.18,949.68
173338,785.00,16.19,949.69
174341,785.00,16.20,949.70
175369,785.00,16.21,949.68
176371,781.00,16.21,949.68
177384,781.00,16.21,949.70
178412,781.00,16.22,949.70
179425,781.00,16.23,949.67
180445,781.00,16.23,949.68
181450,777.00,16.24,949.67
182463,777.00,16.24,949.70
183468,777.00,16.25,949.68
184473,777.00,16.26,949.67
185488,777.00,16.26,949.68
186490,774.00,16.27,949.68
187492,774.00,16.27,949.67
188514,774.00,16.28,949.69
189517,774.00,16.29,949.69
190531,773.00,16.30,949.67
191548,773.00,16.30,949.69
192563,773.00,16.31,949.69
193574,773.00,16.31,949.68
194575,773.00,16.32,949.68
195578,776.00,16.33,949.69
196588,776.00,16.34,949.68
197592,776.00,16.34,949.70
198608,776.00,16.34,949.67
199614,776.00,16.35,949.69
200622,796.00,16.36,949.69
201646,796.00,16.36,949.70
202658,796.00,16.37,949.69
203669,796.00,16.38,949.69
204669,819.00,16.39,949.70
205670,819.00,16.39,949.67
206682,819.00,16.40,949.69
207682,819.00,16.41,949.68
208692,819.00,16.41,949.67
209700,831.00,16.42,949.69
210726,831.00,16.43,949.70
211732,831.00,16.43,949.69
212737,831.00,16.44,949.68
213738,838.00,16.45,949.70
214747,838.00,16.45,949.70
215757,838.00,16.45,949.70
216759,838.00,16.46,949.69
