# Processed Acoustic Event Data, only loud events that exceed 70dBSPL
# Original format: eventMillis, peak_stored, rms_stored, zeroCrossings
# eventTime_s = eventMillis / 1000.0 (time of event since device boot, wraps at 255ms due to uint8 bug)
# peak_dBSPL = 20*log10(peak_stored * 128) + 29.69  [calibrated: raw=368, raw stored=2.875 -> 81dB SPL]
# rms_dBSPL  = 20*log10(rms_stored  * 128) + 29.69
#
Line    EventMillis  EventTime_s  Peak_stored   Peak_dBSPL  RMS_stored   RMS_dBSPL  Duration_ms  ZeroCross
122             231        0.231            1         71.8           1        71.8            0          0
123             233        0.233            1         71.8           1        71.8           46          0
124             234        0.234            2         77.8           1        71.8          182          0
125             235        0.235            2         77.8           1        71.8           46          0
126             235        0.235            1         71.8           1        71.8          895          0
127             236        0.236            3         81.4           1        71.8          107          0
128             237        0.237            2         77.8           1        71.8          800          0
129             240        0.240            3         81.4           2        77.8           45          0
130             242        0.242            2         77.8           1        71.8            0          0
131             242        0.242            1         71.8           1        71.8            0          0
132             244        0.244            3         81.4           1        71.8            0          0
133             246        0.246            1         71.8           1        71.8            0          0
134             246        0.246            1         71.8           1        71.8          109          0
135             246        0.246            1         71.8           1        71.8           46          0
136             248        0.248            1         71.8           1        71.8           45          0
137             249        0.249           92        111.1          13        94.1           46          0
138             249        0.249            2         77.8           1        71.8           45          0
139             251        0.251            1         71.8           1        71.8            0          0
140             251        0.251            1         71.8           1        71.8            0          0
141             252        0.252            1         71.8           1        71.8            0          0
142             253        0.253            2         77.8           1        71.8           45          0
143             253        0.253            1         71.8           1        71.8            0          0
144             254        0.254            1         71.8           1        71.8            0          0
145             254        0.254            1         71.8           1        71.8            0          0
146             255        0.255            1         71.8           1        71.8            0          0
147              75        0.075            1         71.8           1        71.8           91          0
148              75        0.075            1         71.8           1        71.8           46          0
149              77        0.077            1         71.8           1        71.8           91          0
150              78        0.078            2         77.8           1        71.8           91          0
151              91        0.091            2         77.8           1        71.8           46          0
152              93        0.093            1         71.8           1        71.8          182          0
153              93        0.093            2         77.8           1        71.8            1          0
154              93        0.093            8         89.9           3        81.4           92          0
155              95        0.095            2         77.8           1        71.8            0          0
156              95        0.095            1         71.8           1        71.8            0          0
157             161        0.161            1         71.8           1        71.8            0          0
158              30        0.030            1         71.8           1        71.8          201          0
159              48        0.048            1         71.8           1        71.8            0          0
160              90        0.090            1         71.8           1        71.8          475          0
161              91        0.091            1         71.8           1        71.8            0          0
