# Processed Acoustic Event Data, only loud events that exceed 70dBSPL
# Original format: eventMillis, peak_stored, rms_stored, zeroCrossings
# eventTime_s = eventMillis / 1000.0 (time of event since device boot, wraps at 255ms due to uint8 bug)
# peak_dBSPL = 20*log10(peak_stored * 128) + 29.69  [calibrated: raw=368, raw stored=2.875 -> 81dB SPL]
# rms_dBSPL  = 20*log10(rms_stored  * 128) + 29.69
#
Line    EventMillis  EventTime_s  Peak_stored   Peak_dBSPL  RMS_stored   RMS_dBSPL  Duration_ms  ZeroCross
759             153        0.153            2         77.8           1        71.8          139          0
760             153        0.153            2         77.8           1        71.8          156          0
761             154        0.154            2         77.8           1        71.8           93          0
762             154        0.154            4         83.9           2        77.8          202          0
763             155        0.155            3         81.4           1        71.8          325          0
764             155        0.155            5         85.8           2        77.8         1224          0
765             156        0.156            4         83.9           2        77.8          139          0
766             157        0.157            4         83.9           1        71.8         2164          0
767             159        0.159            1         71.8           1        71.8          138          0
768             160        0.160            1         71.8           1        71.8           92          0
769             160        0.160            2         77.8           1        71.8           92          0
770             160        0.160            1         71.8           1        71.8          110          0
771             161        0.161            3         81.4           1        71.8          139          0
772             161        0.161            7         88.7           2        77.8         1449          0
773             162        0.162            1         71.8           1        71.8            1          0
774             163        0.163            5         85.8           2        77.8          509          0
775             164        0.164            4         83.9           1        71.8          557          0
776             164        0.164            3         81.4           1        71.8           93          0
777             165        0.165            2         77.8           1        71.8           92          0
778             165        0.165            2         77.8           1        71.8          479          0
779             166        0.166            1         71.8           1        71.8            0          0
780             166        0.166            2         77.8           1        71.8           47          0
781             166        0.166            2         77.8           1        71.8           91          0
782             166        0.166            1         71.8           1        71.8           64          0
783             167        0.167            2         77.8           1        71.8          110          0
784             168        0.168            1         71.8           1        71.8           47          0
785             168        0.168            1         71.8           1        71.8           46          0
786             169        0.169            3         81.4           1        71.8          183          0
787             169        0.169            2         77.8           1        71.8           46          0
788             170        0.170            2         77.8           1        71.8          139          0
789             170        0.170            1         71.8           1        71.8          185          0
790             171        0.171            2         77.8           1        71.8            0          0
791             171        0.171            1         71.8           1        71.8            0          0
792             171        0.171            1         71.8           1        71.8           46          0
793             172        0.172            1         71.8           1        71.8          140          0
794             172        0.172            1         71.8           1        71.8           91          0
795             173        0.173            1         71.8           1        71.8          139          0
796             173        0.173            1         71.8           1        71.8            0          0
797             173        0.173            2         77.8           1        71.8          185          0
798             174        0.174            1         71.8           1        71.8            0          0
799             174        0.174            3         81.4           1        71.8          231          0
800             176        0.176            1         71.8           1        71.8           63          0
801             176        0.176            1         71.8           1        71.8           46          0
802             177        0.177            1         71.8           1        71.8            0          0
803             177        0.177            1         71.8           1        71.8            0          0
804             178        0.178            1         71.8           1        71.8           47          0
805             180        0.180            1         71.8           1        71.8            0          0
806             180        0.180            1         71.8           1        71.8            0          0
807             180        0.180            2         77.8           1        71.8           92          0
808             181        0.181            1         71.8           1        71.8           93          0
809             181        0.181           10         91.8           2        77.8         1712          0
810             183        0.183            7         88.7           2        77.8          137          0
811             183        0.183            5         85.8           2        77.8          277          0
812             184        0.184            6         87.4           2        77.8          896          0
813             186        0.186            6         87.4           2        77.8          139          0
814             186        0.186            5         85.8           2        77.8          293          0
815             186        0.186            4         83.9           2        77.8          372          0
816             187        0.187            1         71.8           1        71.8            0          0
817             187        0.187            1         71.8           1        71.8           46          0
818             187        0.187            1         71.8           1        71.8            0          0
819             188        0.188            1         71.8           1        71.8            0          0
820             188        0.188            4         83.9           1        71.8          526          0
821             189        0.189            1         71.8           1        71.8            0          0
822             189        0.189            1         71.8           1        71.8            0          0
823             190        0.190            1         71.8           1        71.8            0          0
824             190        0.190            3         81.4           2        77.8           91          0
825             191        0.191            2         77.8           1        71.8          418          0
826             191        0.191            1         71.8           1        71.8            1          0
827             192        0.192            1         71.8           1        71.8            0          0
828             192        0.192            1         71.8           1        71.8           46          0
829             192        0.192            1         71.8           1        71.8           91          0
830             193        0.193            1         71.8           1        71.8            0          0
831             193        0.193            2         77.8           1        71.8            1          0
832             194        0.194            2         77.8           1        71.8           93          0
833             197        0.197            2         77.8           1        71.8            1          0
834             198        0.198            2         77.8           1        71.8          139          0
835             198        0.198            2         77.8           1        71.8          138          0
836             199        0.199            3         81.4           1        71.8          156          0
837             200        0.200            4         83.9           1        71.8          184          0
838             200        0.200            1         71.8           1        71.8            0          0
839             211        0.211            2         77.8           1        71.8           93          0
840             214        0.214            1         71.8           1        71.8          110          0
841             215        0.215            2         77.8           1        71.8           91          0
842             216        0.216            2         77.8           1        71.8            0          0
843             216        0.216            1         71.8           1        71.8            0          0
844             217        0.217            1         71.8           1        71.8          140          0
845             219        0.219            1         71.8           1        71.8            0          0
846             219        0.219            9         90.9           3        81.4           46          0
847             220        0.220            3         81.4           2        77.8            1          0
848             220        0.220            3         81.4           1        71.8           46          0
849             220        0.220            1         71.8           1        71.8            0          0
850             221        0.221            1         71.8           1        71.8            0          0
851             221        0.221            2         77.8           1        71.8           46          0
852             221        0.221            1         71.8           1        71.8            0          0
853             222        0.222            1         71.8           1        71.8           47          0
854             223        0.223            1         71.8           1        71.8            0          0
855             223        0.223            1         71.8           1        71.8            0          0
856             224        0.224            1         71.8           1        71.8            0          0
857             230        0.230            1         71.8           1        71.8            0          0
858             230        0.230            1         71.8           1        71.8            0          0
859             230        0.230            1         71.8           1        71.8          594          0
860             231        0.231            1         71.8           1        71.8            0          0
861             231        0.231            1         71.8           1        71.8            0          0
862             232        0.232            1         71.8           1        71.8            0          0
863             233        0.233            2         77.8           1        71.8          232          0
864             243        0.243            1         71.8           1        71.8            0          0
865             243        0.243            1         71.8           1        71.8            0          0
866             243        0.243            2         77.8           1        71.8           50          0
867             243        0.243            1         71.8           1        71.8           93          0
868             244        0.244            2         77.8           1        71.8          279          0
869             245        0.245            1         71.8           1        71.8           93          0
870             249        0.249            2         77.8           1        71.8            0          0
871             249        0.249            3         81.4           1        71.8          554          0
872             250        0.250            1         71.8           1        71.8            0          0
873             252        0.252            5         85.8           2        77.8          736          0
874             253        0.253            3         81.4           1        71.8          203          0
875             253        0.253            1         71.8           1        71.8            0          0
876             253        0.253            3         81.4           1        71.8          185          0
877             254        0.254            1         71.8           1        71.8          358          0
878             255        0.255            1         71.8           1        71.8           92          0
879             255        0.255            3         81.4           1        71.8           50          0
880             255        0.255            2         77.8           1        71.8           93          0
881               0        0.000            1         71.8           1        71.8            0          0
882               0        0.000            1         71.8           1        71.8           92          0
883               0        0.000            1         71.8           1        71.8           47          0
884               1        0.001            1         71.8           1        71.8           46          0
885               1        0.001            1         71.8           1        71.8            0          0
886               3        0.003            1         71.8           1        71.8           46          0
887               8        0.008            1         71.8           1        71.8            0          0
888               9        0.009            2         77.8           1        71.8          139          0
889               9        0.009            1         71.8           1        71.8           92          0
890              10        0.010            2         77.8           1        71.8           93          0
891              10        0.010           18         96.9           4        83.9          486          0
892              11        0.011            1         71.8           1        71.8           93          0
893              14        0.014            4         83.9           1        71.8          467          0
894              15        0.015            2         77.8           1        71.8          417          0
895              15        0.015            3         81.4           1        71.8          601          0
896              17        0.017            1         71.8           1        71.8           47          0
897              17        0.017            6         87.4           2        77.8          325          0
898              18        0.018            3         81.4           1        71.8          188          0
899              18        0.018            1         71.8           1        71.8          311          0
900              27        0.027            2         77.8           1        71.8            0          0
901              29        0.029            1         71.8           1        71.8            0          0
902              37        0.037            2         77.8           1        71.8            0          0
903              37        0.037            7         88.7           2        77.8            0          0
904              38        0.038            2         77.8           1        71.8           46          0
905              39        0.039            3         81.4           1        71.8            0          0
906              39        0.039            1         71.8           1        71.8            0          0
907              41        0.041            1         71.8           1        71.8          138          0
908              42        0.042            1         71.8           1        71.8            0          0
909              42        0.042            1         71.8           1        71.8          184          0
910              46        0.046            3         81.4           2        77.8          139          0
911              46        0.046            2         77.8           1        71.8           93          0
912              46        0.046            2         77.8           1        71.8           47          0
913              47        0.047            1         71.8           1        71.8          359          0
914              48        0.048            1         71.8           1        71.8           46          0
915              48        0.048            2         77.8           1        71.8           47          0
916              49        0.049            1         71.8           1        71.8          452          0
917              53        0.053            1         71.8           1        71.8            0          0
918              54        0.054            1         71.8           1        71.8            0          0
919              56        0.056            2         77.8           1        71.8          184          0
920              56        0.056            2         77.8           1        71.8           93          0
921              56        0.056            1         71.8           1        71.8            0          0
922              57        0.057            1         71.8           1        71.8          185          0
923              57        0.057            1         71.8           1        71.8           93          0
924              84        0.084            1         71.8           1        71.8            0          0
925             112        0.112            3         81.4           1        71.8          139          0
926             137        0.137            1         71.8           1        71.8           91          0
927             156        0.156            2         77.8           1        71.8           46          0
928             156        0.156            1         71.8           1        71.8            0          0
929             158        0.158            1         71.8           1        71.8            0          0
930             159        0.159            5         85.8           2        77.8         1034          0
931             161        0.161            1         71.8           1        71.8            0          0
932             161        0.161            2         77.8           1        71.8           93          0
933             161        0.161            1         71.8           1        71.8            0          0
934             162        0.162            1         71.8           1        71.8           47          0
935             164        0.164            1         71.8           1        71.8           46          0
936             165        0.165            1         71.8           1        71.8            0          0
937             165        0.165            1         71.8           1        71.8            0          0
938             167        0.167            1         71.8           1        71.8            0          0
939             167        0.167            2         77.8           1        71.8          186          0
940             173        0.173            1         71.8           1        71.8           46          0
941             175        0.175            1         71.8           1        71.8           46          0
942             176        0.176            1         71.8           1        71.8           46          0
943             186        0.186            1         71.8           1        71.8            0          0
944             233        0.233            1         71.8           1        71.8          110          0
945             233        0.233            1         71.8           1        71.8            0          0
946             237        0.237            1         71.8           1        71.8            0          0
947             244        0.244            1         71.8           1        71.8            0          0
948             244        0.244            1         71.8           1        71.8           45          0
949              16        0.016            1         71.8           1        71.8            0          0
950              21        0.021            1         71.8           1        71.8           46          0
951              37        0.037            2         77.8           1        71.8           45          0
952              37        0.037            1         71.8           1        71.8           47          0
953              39        0.039            2         77.8           1        71.8            0          0
954              40        0.040           10         91.8           3        81.4           45          0
955              42        0.042            2         77.8           1        71.8            0          0
956              43        0.043            3         81.4           2        77.8            0          0
957              44        0.044            1         71.8           1        71.8            0          0
958              46        0.046            2         77.8           1        71.8           46          0
959              46        0.046            1         71.8           1        71.8            0          0
960              46        0.046            3         81.4           1        71.8           92          0
961              47        0.047            1         71.8           1        71.8            0          0
962              47        0.047            1         71.8           1        71.8            0          0
963              48        0.048            3         81.4           1        71.8            0          0
964              53        0.053            1         71.8           1        71.8            0          0
965              53        0.053            1         71.8           1        71.8           92          0
966              64        0.064            1         71.8           1        71.8           45          0
967              71        0.071            1         71.8           1        71.8            0          0
968              84        0.084            1         71.8           1        71.8            0          0
969              94        0.094            2         77.8           1        71.8           92          0
970              97        0.097            3         81.4           1        71.8          138          0
971              99        0.099            2         77.8           1        71.8            1          0
972             105        0.105            1         71.8           1        71.8            0          0
973             107        0.107            1         71.8           1        71.8            0          0
974             108        0.108            1         71.8           1        71.8          184          0
975             109        0.109            1         71.8           1        71.8           46          0
976             109        0.109            1         71.8           1        71.8            0          0
977             109        0.109            2         77.8           1        71.8          276          0
978             110        0.110            1         71.8           1        71.8           46          0
979             111        0.111            1         71.8           1        71.8           46          0
980             111        0.111            1         71.8           1        71.8           47          0
981             118        0.118            3         81.4           1        71.8          232          0
982             119        0.119            2         77.8           1        71.8           93          0
983             119        0.119            1         71.8           1        71.8           93          0
984             119        0.119            1         71.8           1        71.8            0          0
985             120        0.120            1         71.8           1        71.8          139          0
986             121        0.121            1         71.8           1        71.8           93          0
987             121        0.121            1         71.8           1        71.8            0          0
988             122        0.122            2         77.8           1        71.8           46          0
989             122        0.122            3         81.4           1        71.8          504          0
990             123        0.123            5         85.8           2        77.8           91          0
991             123        0.123            4         83.9           2        77.8          186          0
992             124        0.124            2         77.8           1        71.8           92          0
993             124        0.124            1         71.8           1        71.8          361          0
994             125        0.125            2         77.8           1        71.8          139          0
995             126        0.126            2         77.8           1        71.8           46          0
996             127        0.127            1         71.8           1        71.8           92          0
997             128        0.128            4         83.9           1        71.8          974          0
998             130        0.130            2         77.8           1        71.8           46          0
999             130        0.130            2         77.8           1        71.8           93          0
1000            131        0.131            2         77.8           1        71.8          190          0
1001            133        0.133            3         81.4           1        71.8          229          0
1002            133        0.133            1         71.8           1        71.8            0          0
1003            134        0.134            2         77.8           1        71.8           92          0
1004            134        0.134            2         77.8           1        71.8          139          0
1005            134        0.134            1         71.8           1        71.8            0          0
1006            135        0.135            3         81.4           1        71.8          386          0
1007            136        0.136            1         71.8           1        71.8           92          0
1008            136        0.136            1         71.8           1        71.8            0          0
1009            138        0.138            3         81.4           1        71.8           91          0
1010            139        0.139            3         81.4           1        71.8          461          0
1011            140        0.140            4         83.9           2        77.8          248          0
1012            140        0.140            2         77.8           1        71.8          787          0
1013            141        0.141            1         71.8           1        71.8          138          0
1014            143        0.143            1         71.8           1        71.8           91          0
1015            144        0.144            4         83.9           1        71.8          576          0
1016            144        0.144            1         71.8           1        71.8            0          0
1017            145        0.145            3         81.4           2        77.8           46          0
1018            145        0.145            3         81.4           1        71.8            1          0
1019            146        0.146            1         71.8           1        71.8           46          0
1020            146        0.146            1         71.8           1        71.8            0          0
1021            147        0.147            1         71.8           1        71.8           46          0
1022            148        0.148            2         77.8           1        71.8           46          0
1023            148        0.148            1         71.8           1        71.8           92          0
1024            149        0.149            1         71.8           1        71.8           46          0
1025            150        0.150            3         81.4           1        71.8          155          0
1026            152        0.152            1         71.8           1        71.8          230          0
1027            152        0.152            1         71.8           1        71.8           46          0
1028            154        0.154            1         71.8           1        71.8           46          0
1029            156        0.156            1         71.8           1        71.8          555          0
1030            158        0.158            1         71.8           1        71.8            0          0
1031            158        0.158            5         85.8           1        71.8          525          0
1032            159        0.159            1         71.8           1        71.8            0          0
1033            159        0.159            1         71.8           1        71.8            0          0
1034            159        0.159            3         81.4           2        77.8          503          0
1035            160        0.160            2         77.8           1        71.8           93          0
1036            160        0.160            1         71.8           1        71.8          138          0
1037            160        0.160            4         83.9           1        71.8          368          0
1038            161        0.161            2         77.8           1        71.8          185          0
1039            162        0.162            2         77.8           1        71.8           46          0
1040            163        0.163            1         71.8           1        71.8           45          0
1041            164        0.164            1         71.8           1        71.8            1          0
1042            168        0.168            1         71.8           1        71.8            0          0
1043            169        0.169            1         71.8           1        71.8           46          0
1044            169        0.169            1         71.8           1        71.8            0          0
1045            169        0.169            2         77.8           1        71.8          830          0
1046            171        0.171            1         71.8           1        71.8            0          0
1047            171        0.171            4         83.9           2        77.8           93          0
1048            172        0.172            1         71.8           1        71.8            0          0
1049            175        0.175            1         71.8           1        71.8           64          0
1050            175        0.175            1         71.8           1        71.8            0          0
1051            176        0.176            3         81.4           1        71.8           47          0
1052            176        0.176            5         85.8           2        77.8          325          0
1053            179        0.179            2         77.8           1        71.8            0          0
1054            180        0.180            1         71.8           1        71.8            0          0
1055            183        0.183            2         77.8           1        71.8          139          0
1056            184        0.184            1         71.8           1        71.8           46          0
1057            185        0.185            1         71.8           1        71.8            0          0
1058            188        0.188            1         71.8           1        71.8            0          0
1059            188        0.188            1         71.8           1        71.8            0          0
1060            191        0.191            1         71.8           1        71.8            0          0
1061            191        0.191            1         71.8           1        71.8           93          0
1062            192        0.192            1         71.8           1        71.8            0          0
1063            193        0.193            2         77.8           1        71.8           91          0
1064            194        0.194            1         71.8           1        71.8            0          0
1065            194        0.194            1         71.8           1        71.8            0          0
1066            195        0.195            2         77.8           1        71.8            1          0
1067            195        0.195            2         77.8           1        71.8          479          0
1068            196        0.196            1         71.8           1        71.8           46          0
1069            197        0.197            3         81.4           1        71.8          231          0
1070            197        0.197            2         77.8           1        71.8          388          0
1071            198        0.198            2         77.8           1        71.8          462          0
1072            202        0.202            4         83.9           2        77.8          139          0
1073            202        0.202            1         71.8           1        71.8           46          0
1074            203        0.203            1         71.8           1        71.8            1          0
1075            205        0.205            3         81.4           1        71.8          478          0
1076            217        0.217            2         77.8           1        71.8            0          0
1077            219        0.219            1         71.8           1        71.8            1          0
1078            220        0.220            6         87.4           2        77.8          339          0
1079            220        0.220            7         88.7           3        81.4         1249          0
1080            223        0.223            1         71.8           1        71.8            0          0
1081            224        0.224            1         71.8           1        71.8            0          0
1082            226        0.226            2         77.8           1        71.8          275          0
1083            227        0.227            4         83.9           2        77.8          371          0
1084            228        0.228            1         71.8           1        71.8            0          0
1085            228        0.228            2         77.8           1        71.8          185          0
1086            228        0.228            4         83.9           2        77.8          183          0
1087            229        0.229            2         77.8           1        71.8           52          0
1088            229        0.229            1         71.8           1        71.8           46          0
1089            230        0.230            2         77.8           1        71.8          139          0
1090            230        0.230            2         77.8           1        71.8          387          0
1091            232        0.232            5         85.8           1        71.8          230          0
1092            232        0.232            1         71.8           1        71.8           46          0
1093            234        0.234            2         77.8           1        71.8            1          0
1094            235        0.235            1         71.8           1        71.8            0          0
1095            238        0.238            1         71.8           1        71.8           92          0
1096            240        0.240            1         71.8           1        71.8           46          0
1097            241        0.241            1         71.8           1        71.8            0          0
1098            243        0.243            1         71.8           1        71.8           92          0
1099            244        0.244            1         71.8           1        71.8            0          0
1100            247        0.247            2         77.8           1        71.8           93          0
1101            252        0.252            3         81.4           1        71.8            0          0
1102             11        0.011            2         77.8           1        71.8            0          0
1103             11        0.011            1         71.8           1        71.8           63          0
1104             11        0.011            2         77.8           1        71.8          231          0
1105             12        0.012            1         71.8           1        71.8           46          0
1106             12        0.012            1         71.8           1        71.8          548          0
1107             21        0.021            2         77.8           1        71.8           46          0
1108             28        0.028           11         92.7           2        77.8         2490          0
1109             33        0.033            1         71.8           1        71.8            0          0
1110             34        0.034            1         71.8           1        71.8            0          0
1111             40        0.040            1         71.8           1        71.8            0          0
1112             40        0.040            1         71.8           1        71.8            0          0
1113             44        0.044            1         71.8           1        71.8            0          0
1114             44        0.044            1         71.8           1        71.8          185          0
1115             46        0.046            7         88.7           3        81.4          324          0
1116             47        0.047            6         87.4           2        77.8          791          0
1117             48        0.048            1         71.8           1        71.8           46          0
1118             48        0.048            1         71.8           1        71.8           46          0
1119             49        0.049            1         71.8           1        71.8            0          0
1120             49        0.049            1         71.8           1        71.8           46          0
1121             50        0.050            1         71.8           1        71.8            1          0
1122             51        0.051            1         71.8           1        71.8            0          0
1123             52        0.052            1         71.8           1        71.8            1          0
1124             52        0.052            1         71.8           1        71.8            0          0
1125             54        0.054            6         87.4           2        77.8          417          0
1126             55        0.055            1         71.8           1        71.8           46          0
1127             55        0.055            3         81.4           1        71.8          138          0
1128             55        0.055            1         71.8           1        71.8            0          0
1129             56        0.056            3         81.4           1        71.8          182          0
1130             56        0.056            8         89.9           2        77.8          480          0
1131             57        0.057            3         81.4           1        71.8           47          0
1132             57        0.057            3         81.4           1        71.8           46          0
1133             58        0.058            1         71.8           1        71.8           93          0
1134             61        0.061            2         77.8           1        71.8           92          0
1135             63        0.063            4         83.9           2        77.8          323          0
1136             63        0.063            2         77.8           1        71.8         1053          0
1137             65        0.065            1         71.8           1        71.8            0          0
1138             65        0.065            1         71.8           1        71.8            0          0
1139             68        0.068            1         71.8           1        71.8           46          0
1140             69        0.069            2         77.8           1        71.8           92          0
1141             71        0.071            1         71.8           1        71.8            0          0
1142             71        0.071            1         71.8           1        71.8            0          0
1143             72        0.072            1         71.8           1        71.8          692          0
1144             75        0.075            1         71.8           1        71.8           46          0
1145             76        0.076            1         71.8           1        71.8            0          0
1146             77        0.077            4         83.9           2        77.8           91          0
1147             77        0.077            1         71.8           1        71.8          276          0
1148             77        0.077            1         71.8           1        71.8          139          0
1149             78        0.078            1         71.8           1        71.8            0          0
1150             78        0.078            1         71.8           1        71.8          683          0
1151             79        0.079            3         81.4           1        71.8          185          0
1152             79        0.079            2         77.8           1        71.8          368          0
1153             80        0.080            3         81.4           1        71.8          825          0
1154             81        0.081            1         71.8           1        71.8          109          0
1155             81        0.081            4         83.9           2        77.8          281          0
1156             82        0.082            1         71.8           1        71.8           47          0
1157             83        0.083            2         77.8           1        71.8            0          0
1158             84        0.084            1         71.8           1        71.8            0          0
1159             84        0.084            1         71.8           1        71.8           46          0
1160             85        0.085            1         71.8           1        71.8          340          0
1161             86        0.086            3         81.4           2        77.8           92          0
1162             86        0.086            1         71.8           1        71.8            0          0
1163             88        0.088            2         77.8           1        71.8           93          0
1164             91        0.091            1         71.8           1        71.8            0          0
1165             91        0.091            3         81.4           1        71.8           47          0
1166             92        0.092            3         81.4           1        71.8           93          0
1167             92        0.092            2         77.8           1        71.8           45          0
1168             93        0.093            2         77.8           1        71.8            0          0
1169             94        0.094            1         71.8           1        71.8           46          0
1170             95        0.095            6         87.4           2        77.8          277          0
1171             96        0.096            2         77.8           1        71.8          230          0
1172             97        0.097            8         89.9           2        77.8          230          0
1173             98        0.098            1         71.8           1        71.8           46          0
1174            102        0.102            2         77.8           1        71.8           46          0
1175            107        0.107            2         77.8           1        71.8           45          0
1176            110        0.110            1         71.8           1        71.8           46          0
1177            110        0.110            1         71.8           1        71.8           47          0
1178            111        0.111            1         71.8           1        71.8            0          0
1179            112        0.112            1         71.8           1        71.8           47          0
